EP=2 DP=2
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	88.0μs ± 17.3μs	1.591GB/s	135168
64	6	4	2048	107.0μs ± 25.6μs	5.289GB/s	540672
64	6	8	2048	114.7μs ± 17.8μs	9.628GB/s	1081344
64	6	16	2048	138.1μs ± 19.4μs	15.934GB/s	2162688
64	6	32	2048	184.6μs ± 54.0μs	24.348GB/s	4325376
64	6	64	2048	257.1μs ± 59.8μs	34.566GB/s	8650752
64	6	128	2048	429.3μs ±  2.4μs	40.307GB/s	17301504
256	8	1	7168	144.7μs ± 52.3μs	13.776GB/s	1892352
256	8	4	7168	237.0μs ± 65.1μs	33.068GB/s	7569408
256	8	8	7168	391.1μs ± 20.9μs	38.793GB/s	15138816
256	8	16	7168	716.3μs ±  3.1μs	42.270GB/s	30277632
256	8	32	7168	1380.2μs ±  3.7μs	43.874GB/s	60555264
256	8	64	7168	2698.1μs ±  4.1μs	44.887GB/s	121110528
256	8	128	7168	5337.2μs ±  5.7μs	45.383GB/s	242221056
