EP=8 DP=8
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	96.1μs ± 17.7μs	1.447GB/s	135168
64	6	4	2048	116.5μs ± 17.3μs	4.728GB/s	540672
64	6	8	2048	353.4μs ± 982.1μs	7.744GB/s	1081344
64	6	16	2048	167.9μs ± 19.7μs	13.042GB/s	2162688
64	6	32	2048	203.0μs ± 11.6μs	21.371GB/s	4325376
64	6	64	2048	784.2μs ± 1482.0μs	25.482GB/s	8650752
64	6	128	2048	777.1μs ± 1184.7μs	32.491GB/s	17301504
256	8	1	7168	140.7μs ± 10.6μs	13.521GB/s	1892352
256	8	4	7168	296.8μs ± 41.3μs	25.857GB/s	7569408
256	8	8	7168	456.4μs ± 11.7μs	33.187GB/s	15138816
256	8	16	7168	815.8μs ± 16.8μs	37.129GB/s	30277632
256	8	32	7168	1601.6μs ± 101.0μs	37.939GB/s	60555264
256	8	64	7168	3238.4μs ± 174.5μs	37.495GB/s	121110528
256	8	128	7168	6363.8μs ± 296.5μs	38.138GB/s	242221056
