EP=4 DP=4
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	74.4μs ± 29.3μs	1.927GB/s	135168
64	6	4	2048	79.5μs ± 28.8μs	7.163GB/s	540672
64	6	8	2048	76.2μs ±  1.0μs	14.197GB/s	1081344
64	6	16	2048	82.0μs ±  8.0μs	26.542GB/s	2162688
64	6	32	2048	120.9μs ± 20.6μs	36.383GB/s	4325376
64	6	64	2048	107.3μs ± 24.0μs	82.714GB/s	8650752
64	6	128	2048	143.5μs ± 24.3μs	122.560GB/s	17301504
256	8	1	7168	77.5μs ±  2.3μs	24.439GB/s	1892352
256	8	4	7168	98.2μs ±  2.6μs	77.131GB/s	7569408
256	8	8	7168	130.5μs ±  3.4μs	116.068GB/s	15138816
256	8	16	7168	179.2μs ± 22.3μs	170.728GB/s	30277632
256	8	32	7168	251.7μs ± 43.9μs	244.759GB/s	60555264
256	8	64	7168	382.2μs ± 31.9μs	318.441GB/s	121110528
256	8	128	7168	704.8μs ± 11.9μs	343.758GB/s	242221056
