EP=2 DP=2
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	111.5μs ± 15.9μs	1.229GB/s	135168
64	6	4	2048	122.7μs ± 29.3μs	4.546GB/s	540672
64	6	8	2048	138.3μs ± 16.2μs	7.926GB/s	1081344
64	6	16	2048	188.2μs ± 25.3μs	11.625GB/s	2162688
64	6	32	2048	188.0μs ± 26.8μs	23.299GB/s	4325376
64	6	64	2048	239.9μs ±  1.4μs	36.068GB/s	8650752
64	6	128	2048	428.2μs ±  3.3μs	40.408GB/s	17301504
256	8	1	7168	215.3μs ± 16.1μs	8.827GB/s	1892352
256	8	4	7168	250.6μs ± 17.3μs	30.317GB/s	7569408
256	8	8	7168	383.0μs ±  6.6μs	39.537GB/s	15138816
256	8	16	7168	712.2μs ±  2.7μs	42.515GB/s	30277632
256	8	32	7168	1372.0μs ±  2.5μs	44.138GB/s	60555264
256	8	64	7168	2682.5μs ±  3.0μs	45.148GB/s	121110528
256	8	128	7168	5306.5μs ±  4.5μs	45.646GB/s	242221056
