EP=8 DP=8
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	107.9μs ± 17.3μs	1.279GB/s	135168
64	6	4	2048	136.7μs ± 20.4μs	4.029GB/s	540672
64	6	8	2048	135.8μs ± 17.5μs	8.062GB/s	1081344
64	6	16	2048	441.7μs ± 1142.5μs	11.114GB/s	2162688
64	6	32	2048	280.6μs ± 51.4μs	15.744GB/s	4325376
64	6	64	2048	576.3μs ± 987.0μs	23.224GB/s	8650752
64	6	128	2048	511.7μs ± 11.5μs	33.831GB/s	17301504
256	8	1	7168	428.6μs ± 985.4μs	8.715GB/s	1892352
256	8	4	7168	353.0μs ± 42.1μs	21.693GB/s	7569408
256	8	8	7168	532.2μs ± 131.8μs	29.322GB/s	15138816
256	8	16	7168	1099.6μs ± 1196.7μs	34.866GB/s	30277632
256	8	32	7168	1973.2μs ± 1081.0μs	34.886GB/s	60555264
256	8	64	7168	3277.9μs ± 459.8μs	37.430GB/s	121110528
256	8	128	7168	6349.6μs ± 220.5μs	38.190GB/s	242221056
