EP=2 DP=2
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	69.5μs ±  3.6μs	1.949GB/s	135168
64	6	4	2048	81.2μs ±  1.0μs	6.657GB/s	540672
64	6	8	2048	104.2μs ± 34.7μs	10.875GB/s	1081344
64	6	16	2048	115.0μs ±  1.5μs	18.805GB/s	2162688
64	6	32	2048	162.7μs ±  3.4μs	26.591GB/s	4325376
64	6	64	2048	243.0μs ± 24.6μs	35.850GB/s	8650752
64	6	128	2048	424.5μs ±  1.9μs	40.755GB/s	17301504
256	8	1	7168	129.9μs ± 19.4μs	14.761GB/s	1892352
256	8	4	7168	215.5μs ±  1.5μs	35.122GB/s	7569408
256	8	8	7168	376.2μs ±  1.4μs	40.246GB/s	15138816
256	8	16	7168	705.9μs ±  2.8μs	42.892GB/s	30277632
256	8	32	7168	1366.0μs ±  3.2μs	44.332GB/s	60555264
256	8	64	7168	2676.0μs ±  3.3μs	45.259GB/s	121110528
256	8	128	7168	5305.1μs ±  3.3μs	45.658GB/s	242221056
