EP=8 DP=8
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	130.0μs ± 11.0μs	1.047GB/s	135168
64	6	4	2048	143.5μs ± 12.6μs	3.790GB/s	540672
64	6	8	2048	361.5μs ± 936.8μs	6.781GB/s	1081344
64	6	16	2048	202.1μs ± 15.1μs	10.756GB/s	2162688
64	6	32	2048	545.1μs ± 1247.8μs	15.501GB/s	4325376
64	6	64	2048	352.6μs ± 10.9μs	24.557GB/s	8650752
64	6	128	2048	508.3μs ± 14.2μs	34.060GB/s	17301504
256	8	1	7168	198.8μs ± 12.1μs	9.551GB/s	1892352
256	8	4	7168	325.1μs ± 19.4μs	23.349GB/s	7569408
256	8	8	7168	476.7μs ± 14.7μs	31.783GB/s	15138816
256	8	16	7168	835.6μs ± 34.4μs	36.288GB/s	30277632
256	8	32	7168	1610.9μs ± 76.3μs	37.667GB/s	60555264
256	8	64	7168	3154.1μs ± 136.3μs	38.463GB/s	121110528
256	8	128	7168	6257.2μs ± 161.8μs	38.736GB/s	242221056
