EP=8 DP=8
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	79.9μs ±  7.6μs	1.704GB/s	135168
64	6	4	2048	99.2μs ±  9.3μs	5.485GB/s	540672
64	6	8	2048	105.7μs ± 10.8μs	10.313GB/s	1081344
64	6	16	2048	561.2μs ± 1291.9μs	13.879GB/s	2162688
64	6	32	2048	223.8μs ±  9.1μs	19.354GB/s	4325376
64	6	64	2048	376.8μs ± 128.1μs	24.105GB/s	8650752
64	6	128	2048	499.4μs ±  9.8μs	34.660GB/s	17301504
256	8	1	7168	181.8μs ± 10.0μs	10.441GB/s	1892352
256	8	4	7168	320.2μs ± 15.9μs	23.695GB/s	7569408
256	8	8	7168	914.4μs ± 1350.3μs	29.050GB/s	15138816
256	8	16	7168	855.0μs ± 108.1μs	35.827GB/s	30277632
256	8	32	7168	1621.5μs ± 127.6μs	37.545GB/s	60555264
256	8	64	7168	3336.3μs ± 618.4μs	37.017GB/s	121110528
256	8	128	7168	6333.0μs ± 243.1μs	38.300GB/s	242221056
