EP=2 DP=2
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	76.1μs ± 12.8μs	1.812GB/s	135168
64	6	4	2048	83.7μs ±  6.2μs	6.486GB/s	540672
64	6	8	2048	99.5μs ±  4.9μs	10.890GB/s	1081344
64	6	16	2048	117.3μs ±  0.9μs	18.434GB/s	2162688
64	6	32	2048	161.3μs ±  1.0μs	26.822GB/s	4325376
64	6	64	2048	238.2μs ±  1.3μs	36.311GB/s	8650752
64	6	128	2048	423.9μs ±  1.7μs	40.818GB/s	17301504
256	8	1	7168	123.1μs ±  0.8μs	15.369GB/s	1892352
256	8	4	7168	218.3μs ± 11.7μs	34.750GB/s	7569408
256	8	8	7168	385.3μs ±  7.3μs	39.302GB/s	15138816
256	8	16	7168	715.8μs ±  1.6μs	42.300GB/s	30277632
256	8	32	7168	1376.7μs ±  2.9μs	43.985GB/s	60555264
256	8	64	7168	2689.1μs ±  4.2μs	45.038GB/s	121110528
256	8	128	7168	5325.1μs ±  5.1μs	45.487GB/s	242221056
