EP=2 DP=2
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	92.0μs ± 19.0μs	1.518GB/s	135168
64	6	4	2048	111.4μs ± 24.9μs	5.031GB/s	540672
64	6	8	2048	123.7μs ± 13.2μs	8.840GB/s	1081344
64	6	16	2048	154.2μs ± 37.3μs	14.579GB/s	2162688
64	6	32	2048	177.0μs ±  9.1μs	24.502GB/s	4325376
64	6	64	2048	240.2μs ±  1.7μs	36.014GB/s	8650752
64	6	128	2048	424.8μs ±  2.2μs	40.726GB/s	17301504
256	8	1	7168	144.2μs ± 17.1μs	13.294GB/s	1892352
256	8	4	7168	217.8μs ±  1.7μs	34.761GB/s	7569408
256	8	8	7168	378.8μs ±  1.3μs	39.965GB/s	15138816
256	8	16	7168	709.9μs ±  1.8μs	42.651GB/s	30277632
256	8	32	7168	1368.6μs ±  3.3μs	44.247GB/s	60555264
256	8	64	7168	2681.8μs ±  3.4μs	45.160GB/s	121110528
256	8	128	7168	5307.0μs ±  3.6μs	45.642GB/s	242221056
