EP=8 DP=8
E	E/tok	tok	dim	Torch_lat	Torch_bw	Torch_bytes
64	6	1	2048	127.8μs ± 31.1μs	1.094GB/s	135168
64	6	4	2048	141.6μs ± 16.0μs	3.859GB/s	540672
64	6	8	2048	447.9μs ± 1315.2μs	6.742GB/s	1081344
64	6	16	2048	460.3μs ± 1188.2μs	10.597GB/s	2162688
64	6	32	2048	250.5μs ± 10.6μs	17.297GB/s	4325376
64	6	64	2048	558.1μs ± 924.7μs	23.509GB/s	8650752
64	6	128	2048	502.2μs ± 22.6μs	34.513GB/s	17301504
256	8	1	7168	168.6μs ±  8.1μs	11.248GB/s	1892352
256	8	4	7168	301.6μs ± 21.7μs	25.197GB/s	7569408
256	8	8	7168	732.1μs ± 1220.2μs	31.455GB/s	15138816
256	8	16	7168	848.5μs ± 69.9μs	35.879GB/s	30277632
256	8	32	7168	9754.1μs ± 35312.2μs	33.958GB/s	60555264
256	8	64	7168	3196.7μs ± 189.2μs	38.001GB/s	121110528
256	8	128	7168	6384.2μs ± 183.0μs	37.970GB/s	242221056
